"Binom","Abundance","Delta","CTmax"
"Aphaenogaster carolinensis",16,5,40.25
"Aphaenogaster carolinensis",24,8,40.25
"Aphaenogaster carolinensis",28,2,40.25
"Aphaenogaster carolinensis",20,12,40.25
"Aphaenogaster carolinensis",18,9,40.25
"Aphaenogaster carolinensis",57,10,40.25
"Aphaenogaster carolinensis",15,1,40.25
"Aphaenogaster carolinensis",29,3,40.25
"Aphaenogaster carolinensis",37,6,40.25
"Aphaenogaster carolinensis",15,7,40.25
"Aphaenogaster carolinensis",16,4,40.25
"Aphaenogaster carolinensis",39,11,40.25
"Crematogaster lineolata",4,5,45.59583333
"Crematogaster lineolata",25,2,45.59583333
"Crematogaster lineolata",28,4,45.59583333
"Crematogaster lineolata",56,1,45.59583333
"Crematogaster lineolata",81,9,45.59583333
"Crematogaster lineolata",18,12,45.59583333
"Crematogaster lineolata",21,8,45.59583333
"Crematogaster lineolata",64,3,45.59583333
"Crematogaster lineolata",13,7,45.59583333
"Crematogaster lineolata",4,10,45.59583333
"Crematogaster lineolata",4,11,45.59583333
"Crematogaster lineolata",50,6,45.59583333
"Formica pallidefulva",5,5,43.75
"Formica pallidefulva",2,11,43.75
"Formica pallidefulva",1,9,43.75
"Formica pallidefulva",3,7,43.75
"Formica pallidefulva",11,10,43.75
"Formica pallidefulva",1,6,43.75
"Formica pallidefulva",3,2,43.75
"Formica pallidefulva",9,3,43.75
"Formica pallidefulva",2,4,43.75
"Formica pallidefulva",6,8,43.75
"Formica subsericea",9,3,43.875
"Formica subsericea",1,5,43.875
"Formica subsericea",5,9,43.875
"Formica subsericea",9,7,43.875
"Formica subsericea",14,10,43.875
"Formica subsericea",4,4,43.875
"Formica subsericea",4,12,43.875
"Formica subsericea",8,2,43.875
"Prenolepis imparis",6,11,39.2
"Prenolepis imparis",12,7,39.2
"Prenolepis imparis",19,8,39.2
"Prenolepis imparis",52,2,39.2
"Prenolepis imparis",10,9,39.2
"Prenolepis imparis",17,12,39.2
"Prenolepis imparis",72,4,39.2
"Prenolepis imparis",100,5,39.2
"Prenolepis imparis",19,1,39.2
"Prenolepis imparis",39,3,39.2
"Prenolepis imparis",21,6,39.2
"Prenolepis imparis",17,10,39.2
